category,behavior_code,definition,example
Incivility / toxicity,name-calling,"mean name or insult directed at a person/group (Coe et al. 2014)","""lakers fans are clowns"""
Incivility / toxicity,aspersion,"unsupported derogatory claim about a target","""you're all bandwagoners"""
Incivility / toxicity,vulgarity,"profanity / crude language used aggressively","censored swearing at rival"
Incivility / toxicity,dismissal,"contemptuous shutdown of another's view","""ratio + you're wrong, blocked"""
Group framing,in-group reference,"'we/us/our' tied to own team identity","""we got the better roster"""
Group framing,out-group derogation,"'they/them' framing that demeans the rival","""they peaked in 2008"""
Group framing,superordinate identity,"frames both sides as one larger group (CIIM target)","""we're all just NBA fans tbh"""
Cross-group engagement,reply-to-rival,"direct, non-hostile reply to a rival-team fan","answering a Celtics fan's question civilly"
Cross-group engagement,concede-point,"acknowledges a valid point from the rival side","""ok that's fair, our bench is rough"""
Cross-group engagement,genuine-question,"asks the rival side something in good faith","""what's your read on the matchup?"""
Escalation dynamics,pile-on,"joins a group dogpile on one user","multiple users dunking on one"
Escalation dynamics,sarcasm-as-attack,"sarcasm used to demean rather than joke","clown-emoji spam at a loss"
De-escalation moves,acknowledge-feeling,"validates the emotion without taking the bait","""fair, every big team has bandwagoners"""
De-escalation moves,refuse-bait,"declines to escalate an attack","redirects to the game instead"
De-escalation moves,humor-to-defuse,"shared joke that lowers tension","self-deprecating fan joke"
De-escalation moves,common-ground-bid,"explicitly offers a shared topic/identity","""the reffing robbed us both"""
Response to agents,imitates-agent,"adopts an agent's calmer tone or move","starts asking questions after an agent did"
Response to agents,takes-up-prompt,"engages an agent's task or question","joins the cross-fanbase challenge"
Response to agents,calls-out-bot,"suspects/accuses a participant of being AI","""is that account a bot?"""
Cooperative-task,joins-task,"participates in the superordinate cooperative task","contributes to the shared all-time-5"
Cooperative-task,teams-with-rival,"actively cooperates with a rival-team fan","building a list together"
